index,disease_name,description,Possible Steps,image_url,,,,,,,,,,
0,Apple : Scab,"잎, 가지, 과실에 발생한다. 잎에는 처음 갈색 내지 녹갈색의 반점이 생기고, 그 뒷면에는 흑녹색의 포자가 생기며, 병반부는 고사, 탈락한다. 잎 앞면에 직경 2~3㎜의 녹황색 반점이 나타나고 갈색의 가루가 덮히며 시간이 경과하면 잎 표면이 부풀어 오름. 과실에서는 1~2㎜의 흑색 반점이 나타나 과실의 비대와 함께 표면에 균열이 생기고 기형과가 된다. 가지는 표면이 거칠고, 표피가 파괴되는 흑색의 병반이 형성된다.","사과원의 습도를 낮추기 위해 배수관리를 철저히 하며 병든 잎, 과실은 불에 태우거나 땅 속 깊이 묻는다.봄철 1차 감염시기의 방제가 가장 중요하므로 4월 중순～5월 중순에 점무늬낙엽병, 붉은별무늬병, 그을음(점무늬)병의 방제와 겸하여 등록약제를 살포하는 것이 효과적이다.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg,,,,,,,,,,
1,Apple : Black Rot,"과실, 가지에 주로 발생한다. 과실에는 처음 황갈색의 작은 반점이 생기고, 점차 확대되어 윤문상의 큰 병반이 형성되고, 심하면 물이 흐르고, 과일 전체가 부패, 낙과한다.한편 흑갈색 또는 황갈색의 원형 반점이 형성, 진전이 매우 느리고 병반 주위에 적색의 테를 형성하기도 한다. 가지에서는 사마귀형성(조피), 굵은가지의 윤문증상, 가지마름증상 등으로 나타나는데, 사마귀증상의 피해가 가장 크다.과점을 중심으로 갈색의 작고 둥근 반점이 생기는데, 이 반점의 주위가 붉게 착색됨. 병반이 확대되면 둥근 띠모양으로 테가 생김. 과실을 잘랐을 때 썩는 부위가 연한 갈색 혹은 짙은 갈색으로 불규칙하게 썩으며 이런 증상은 V자 모양을 띄며 씨방쪽으로 썩어 들어가는 탄저병과는 뚜렷하게 구별되는 분류 포인트가 된다.줄기에서의 병반은 사마귀를 형성하는 것과 사마귀를 형성하지 않고 조피증상을 나타내는 것, 검붉은색의 암종을 형성하는 것이 있다.",병원균이 겨울을 지내는 곳에서 비산된 포자가 과실에 부착하지 못하게 하는 봉지 씌우기 재배가 가장 효과적인 방법이다.우리나라에서는 봉지 씌우기를 6월 상순에서 중순에 걸쳐 이행하는데 겹무늬썩음병 방제만을 고려한다면 장마가 시작되기 전까지만 봉지를 씌우면 방제에는 큰 문제가 없다.이 병은 감염가능 기간이 길고 이 기간 중 비만 오면 언제든지 대량감염의 우려가 있으므로 최대 비산 및 감염시기가 되는 장마기 전부터 8월하순까지 매회 방제효과가 높은 약제를 살포해야 한다.유목시기의 가지에 형성된 사마귀 병반부위를 도포제 혹은 수성페인트로 발라두면 병원균의 비산방지와 예방에 효과가 있으나 노목의 경우는 도포처리의 어려움과 비용 과다로 효과적이지 못하다. 전정한 나무가지를 사과원에 방치하지 않도록 한다.약제 살포시 가지에 약이 충분히 묻도록 하는 것도 중요하다.,http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg,,,,,,,,,,
2,Apple : Cedar rust,"주로 잎에 발생하나 과실, 신소에도 발생한다. 5월 하순경부터 등황색의 선명한 작은 병반이 생기고, 점차 진전되면서 정자각이 형성되고, 병반은 두터워지며, 뒷면이 볼록하게 나타난다. 7월경부터 회황색, 수술모양의 모상체(수자강)가 생기고, 심한 잎은 붉은색을 띄기도 한다. 2종 기생으로 향나무에도 감염되는데, 겨울을 지낸 후 봄이되면 적황색의 설상돌기(舌狀突起)를 형성한다.","사과원 부근 1㎞ 이내에 중간기주인 향나무류를 심지 않는 것이며, 풍향, 풍속 등에 의해 달라지나 보통 500m를 넘을 경우 발병력이 줄어든다. 향나무에 형성된 혹(동포자퇴)이 터져서 젤리 모양이 되기 전에 잘라서 태우든가 4월～5월에 석회유황합제나 적용약제를 살포한다. 과나무에는 낙화 후 검은별무늬병, 점무늬낙엽병, 그을음(점무늬)병과 동시 방제 하는 것이 효과적이다.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg,,,,,,,,,,
3,Apple : Healthy,"건강한 사과 이다. 사과는 대부분의 과일과 마찬가지로 최상의 수확을 위해 하루 6시간 이상의 직접적인 여름 햇빛을 받는 풀 선에서 재배될 때 가장 좋다. 사과에 가장 적합한 조명은 남쪽이 아닌 북쪽 면, 집이나 나무 줄기, 또는 오르막길과 같은 위치이다. 사과 나무는 배수가 잘 되는 흙을 필요로 하지만 약간의 수분은 유지할 수 있어야 한다.",건강한 사이다.,https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg,,,,,,,,,,
4,Background Without Leaves,이미지를 다시 업로드해주세요,적절한 잎을 찾을 수 없어서 해결 방안을 설명할 수 없습니다,https://cdn.onlinewebfonts.com/svg/img_332817.png,,,,,,,,,,
5,Blueberry : Healthy,건강한 블루베리 이다. 블루베리는 칼로리가 낮지만 영양가는 높다. 블루베리는 항산화제 음식의 왕이다. 블루베리는 노화와 암을 예방하는 데 도움이 되는 DNA 손상을 줄인다. 블루베리는 혈중의 콜레스테롤을 보호하여 손상을 방지한다. 또한 블루베리는 혈압을 낮출 수 있다.,건강한 블루베리 이다.,https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg,,,,,,,,,,
6,Cherry : Powdery Mildew,"최초의 관개 시작 후 7~10일 뒤에 발생하는 초기 증상은 민감한 어린 잎(새로 피어난 연하고 밝은 초록색으로 번진 잎)에 가벼운 원형의 가루 모양 반점이다. 나이든 잎은 가루병에 대한 나이 관련 저항성을 발달시켜 더 젊은 잎보다 감염에 자연적으로 더 저항성을 가진다. 높은 습도가 유지되는 뿌리 수현기, 나무의 내부 덮개 또는 갈림살에서 초기 잎 감염을 찾아야 한다. 다른 곰팡이류와는 달리 가루병은 발아하는 데 자유 물이 필요하지 않지만 고습은 발아와 곰팡이 성장을 촉진한다. 이 질병은 잎의 하면(아백스)에서 더 자주 발생하지만 나중에는 양면에서 발생한다. 계절이 지나고 바람에 의해 감염이 전파되면 잎이 비틀거리고 위로 말려 오를 수 있다. 심한 감염은 잎을 주름잡히고 비틀게 만들 수 있다. 새로운 총의 신생 잎은 점차적으로 작아지며 종종 창백하고 비뚤어질 수 있다.",식물의 병든 부분을 즉시 가지치기하고 폐기해야한다 . 동시에 과일 나무의 남은 잎을 보호하기 위해 항진균제를 사용해야한다.,http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png,,,,,,,,,,
7,Cherry : Healthy,건강한 체리이다. 산딸기와 달콤한 체리 사이에는 관리에서 차이가 없다. 수분을 유지하고 새들로부터 과일을 보호하기 위해 나무 위에 그물을 덮는게 좋다. 건조한 지역에서는 규칙적으로 물을 줘야한다 . 체리 나무의 열매를 적당히 떼어내는 것은 필요하지 않다. 보통 여름 초에 체리 나무는 자연스럽게 열매를 적당히 떼어내기 때문이다. 계절 전체에 걸쳐 나무를 보호하기 위해 라벨 지시에 따라 항진균제를 반복적으로 사용해야 한다.,건강한 체리 이다.,https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg,,,,,,,,,,
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot,"잎, 줄기, 과실에 발생한다. 잎에는 갈색의 원형 또는 부정형의 병반으로 나타나고, 진전되면 겹무늬병반으로 확대된다. 줄기에는 처음 갈색의 작은 반점으로 나타나고, 상하로 진전되어 장타원형의 병반이 된다. 과실에는 갈색 원형의 겹무늬병반이 형성되고, 중앙에는 흑색 소립점(병자각)이 형성된다.",건전 종자를 사용하거나 종자 소독을 한다. 병든 잎은 일찍 제거하여 전염원을 없앤다. 생육이 왕성하게 관리한다. 발병이 심한 곳은 가지 이외의 작물로 윤작한다. 과습하지 않도록 포장관리를 철저히 하고 질소질비료를 적당량 살포한다.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png,,,,,,,,,,
9,Corn : Common Rust,"짙은 갈색 또는 붉은색의 작은 반점으로 나타나는 질병이다. 이 질병은 주로 옥수수 잎에 발생하며, 이 반점들은 차례로 확산되며 잎의 전체적인 색을 바꿀 수 있다. 이 질병은 습도가 높고 온도가 따뜻한 조건에서 번식하기 때문에 비옥한 조건에서 더 빠르게 확산될 수 있다.","물이 건강한 상태를 유지하도록 적절한 관리를 해야 한다. 충분한 간격을 두고 올바른 수분을 공급하고, 옥수수 잎의 젖은 부분을 피해 습도를 조절하려고 노력해야한다.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png,,,,,,,,,,
10,Corn : Northern Leaf Blight,"처음에는 잎집에 타원형 내지 부정형의 얼룩무늬 증상으로 나타나며, 병반의 가장자리는 담갈색 내지 갈색을 띠고, 내부는 회백색 내지 황백색을 띤다. 병반은 6～7월에 식물체의 잎집 아래 부위에서 형성되고, 수확기까지 식물체의 위쪽으로 계속 진전되며, 후에 병반 표면에는 암갈색의 편구형 혹은 부정형 균핵이 형성된다. 심하게 감염된 식물체의 잎집과 잎은 전부 말라죽고, 간혹 잎집 내 줄기에도 암갈색 부정형 병반이 크게 형성되고, 썩는 증상이 나타난다.","재배 포장의 토양이 다습하지 않도록 주의한다. 식물체가 너무 밀식하지 않게 재배한다. 질소비료의 과용을 피하고, 칼리비료와 균형시비를 한다. 병 발생이 심한 포장은 십자화과 등 다른 비기주 작물과 돌려짓기를 한다.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg,,,,,,,,,,
11,Corn : Healthy,"건강한 옥수수이다.  옥수수 식물은 주간 기온이 화씨 75도에서 80도, 밤 기온이 65도에서 70도가 적당하다. 토양은 꾸준히 촉촉하게 유지되어야 하지만 너저분하게 젖지 않도록 주의해야 하며, 비료는 6개월에 한 번만 필요하다. 밝지만 직접적인 햇빛을 받는 곳에 배치할 때 가장 잘 자라는 경향이 있습니다. 식물이 몇 잎이 노랗게 되는 것은 자연스러운 현상이며 크게 신경 쓸 것은 없다. 그러나 만약 식물이 한 번에 다섯 개나 여섯 개의 많은 노란 잎을 생산한다면, 과분한 관수로 인해 또는 식물이 빛의 부족으로 고생하는 것일 수 있다.",건강한 옥수수이다.,https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg,,,,,,,,,,
12,Grape : Black Rot,"성숙된 잎에 등황색 내지 흑갈색의 병반이 형성된다. 초기 병징은 흑색의 작은 반점으로 시작, 병반 주위는 노란 환문이 생기며, 병이 진전 되면서 직경 1~2㎝ 크기의 다각형 병반을 만든다. 잎 뒷면은 다량의 분생자경 형성으로 흑갈색을 띤다. 많이 발생한 경우에는 7~8월 이후 황변하여 조기 낙엽을 일으킨다.","나무 세력이 약한 나무에 잘 발생하므로 질소가 많지 않도록 하는 비료관리와 햇빛과 바람이 잘 통하도록 나무관리에 주의하며 물빠짐 등에 유의해야 하고, 전염원이 되는 병든 낙엽은 긁어모아 태워 버린다. 월동기 포도나무의 발아 전에 석회유황합제를 살포한다. 생육기에는 탄저병 방제를 겸해서 등록약제를 잎 뒷면 중심으로 충분히 살포한다. 병 발생시기와 장마철이 중복되는 경우가 많으므로 약제 살포시기를 놓치지 않도록 주의하여야 한다.",,,,,,,,,,,https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
13,Grape : Esca | Black Measles,"주로 포도 수확기나 후에 발생하며, 포도의 잎과 새싹에 영향을 미치는 병이기도 하다. 나뭇잎의 비정상적인 색상 또는 모양 나무가 죽는 부분이 있거나 전체적인 나무의 쇠약함 줄기나 가지에 검은색 반점 또는 노란색 반점 심한 경우, 수확 시 포도가 좋지 않은 상태로 보일 수 있다. ","가지를 깨끗하게 손질함으로써, 병균이 번식하고 나무 전체에 퍼지는 것을 방지할 수 있다. 건강한 부분과 병든 부분을 잘 구분하여 나무의 건강한 성장을 유지하고, 새로운 병균의 침입을 방지한다. ",,,,,,,,,,,
14,Grape : Leaf Blight | Isariopsis Leaf Spot,"곰팡이 속의 세균으로 인해 발생하며, 잎에 발생하는 각종 문제를 일으킨다. 잎에 작은 갈색 혹은 회색 반점이 나타나며, 이후 반점이 커지고 합쳐져서 큰 잎 손상을 일으킨다. 잎의 경계를 따라 갈색 가장자리가 형성된다. 이 병은 잎의 사진합성을 방해하여 식물이 영양소를 생산하는데 문제를 일으킨다. 심한 경우, 잎이 노랗게 변하고 시들어 잎이 떨어질 수 있습니다.지 않도록 주의해야 한다. 그리고 이런 작업을 수행할 때 나무의 생리적인 상태나 시기를 고려하여 적절한 타이밍에 작업을 진행하는 것이 중요하다. ","나무 주변의 잡초를 제거하고 공기 순환이 잘되도록 나무 주변을 청소하여 장소의 통풍을 개선하여 습기가 증가하는 것을 방지한다. 과도한 관수는 병을 유발할 수 있으므로, 토양을 마르게 유지하고 너무 습기를 피하는 것이 중요하다.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg,,,,,,,,,,
15,Grape : Healthy,"건강한 포도이다. 물을 뿌릴 때에는 뿌리 영역에만 물을 줘야한다 . 포도 잎이 젖지 않도록 주의해야한다 . 이렇게 하면 포도의 많은 질병을 예방할 수 있다. 가을에는 어린 포도 덩굴에 물을 줄이고, 식물이 겨울을 준비하기 위해 견고한 삿갓을 형성하도록 견실해야한다. 오래된 덩굴들은 모래 토양이나 다른 흡수가 매우 잘 되는 토양에 있지 않는 이상 거의 물을 필요로하지 않는다.",건강한 포도이다.,https://images.indianexpress.com/2021/02/grapes-1200.jpg,,,,,,,,,,
16,Orange : Haunglongbing | Citrus Greening,"잎이 비정상적으로 변형되고, 식물은 잎이 축소되거나 비대해지는 증상을 보인다. 노란색 또는 녹색의 비정상적인 패턴이 잎에 나타나며, 이는 '청색증' 혹은 '사무라이 패턴'이라고 불린다. 나무의 꽃과 열매는 올바르게 성장하지 않고, 열매의 색상이 비정상적이거나 적절한 성장이 이루어지지 않는 경우가 있다.",질병의 전파를 방지하는데에 중요하기 때문에 확실히 확실히 감염된 나무를 제거하여 인접한 식물로의 전파를 막습니다. 이를 통해 질병의 확산을 제어할 수 있다. ,https://www.universityofcalifornia.edu/sites/default/files/CitrusGreening.jpg,,,,,,,,,,
17,Peach : Bacterial Spot,"주로 잎에 발생을 하며, 가지와 과일에도 발생한다. 봄에 잎에 형성되는 병반은 수침상의 적자색 내지 갈색이며. 나중에 죽은 조직이 떨어져 나와 구멍이 생기게 된다. 가지에서는 병징이 적자색 내지 암갈색으로 변하고 심하면 가지가 고사된다. 어린 과실의 초기병징은 황색을 띠고, 차차 흑색으로 변하며, 병반주위가 녹황색을 띠게 된다.","전정 시 감염된 가지를 제거하여 불 태운다. 비, 바람에 전염이 일시에 감염시킬 수 있으므로 방풍구를 설치한다.",https://www.gardeningknowhow.com/wp-content/uploads/2016/07/bacterial-spot-peach.jpg,,,,,,,,,,
